Timestamp,Track_ID,Vehicle_Type,Speed_kmh,Speed_Limit,Image_Path
2026-05-06 11:18:18,16,Car,46.35,40,violations\violation_16_20260506_111818_363.jpg
2026-05-06 11:18:19,28,Car,50.84,40,violations\violation_28_20260506_111819_308.jpg
2026-05-06 11:18:20,34,Car,49.92,40,violations\violation_34_20260506_111820_589.jpg
2026-05-06 11:18:22,77,Car,44.35,40,violations\violation_77_20260506_111822_683.jpg
2026-05-06 11:18:25,105,Car,100.80,40,violations\violation_105_20260506_111825_494.jpg
2026-05-06 11:18:27,117,Car,47.74,40,violations\violation_117_20260506_111827_316.jpg
2026-05-06 11:18:27,122,Car,40.55,40,violations\violation_122_20260506_111827_780.jpg
2026-05-06 11:18:29,142,Car,117.19,40,violations\violation_142_20260506_111829_923.jpg
2026-05-06 11:18:33,155,Car,66.67,40,violations\violation_155_20260506_111833_222.jpg
2026-05-06 11:18:33,150,Car,59.14,40,violations\violation_150_20260506_111833_234.jpg
2026-05-06 11:18:34,139,Car,44.12,40,violations\violation_139_20260506_111834_921.jpg
2026-05-06 11:18:42,180,Car,50.52,40,violations\violation_180_20260506_111842_652.jpg
2026-05-06 11:18:45,211,Truck,59.08,40,violations\violation_211_20260506_111845_765.jpg
2026-05-06 11:18:46,212,Car,68.42,40,violations\violation_212_20260506_111846_262.jpg
2026-05-06 11:18:47,220,Car,49.52,40,violations\violation_220_20260506_111847_572.jpg
2026-05-06 11:18:49,231,Car,47.92,40,violations\violation_231_20260506_111849_456.jpg
2026-05-06 11:18:50,227,Car,42.75,40,violations\violation_227_20260506_111850_305.jpg
2026-05-06 11:18:50,237,Car,40.56,40,violations\violation_237_20260506_111850_455.jpg
2026-05-06 11:18:51,243,Car,44.18,40,violations\violation_243_20260506_111851_875.jpg
2026-05-06 11:19:47,7,Car,103.27,50,violations\violation_7_20260506_111947_428.jpg
2026-05-06 11:19:47,9,Car,88.90,50,violations\violation_9_20260506_111947_445.jpg
2026-05-06 11:19:47,1,Car,58.65,50,violations\violation_1_20260506_111947_706.jpg
2026-05-06 11:19:48,6,Car,71.10,50,violations\violation_6_20260506_111948_410.jpg
2026-05-06 11:19:48,14,Car,126.65,50,violations\violation_14_20260506_111948_420.jpg
2026-05-06 11:19:48,2,Car,51.08,50,violations\violation_2_20260506_111948_844.jpg
2026-05-06 11:19:49,10,Car,51.72,50,violations\violation_10_20260506_111949_050.jpg
2026-05-06 11:19:49,5,Car,51.83,50,violations\violation_5_20260506_111949_283.jpg
2026-05-06 11:19:49,16,Car,56.55,50,violations\violation_16_20260506_111949_484.jpg
2026-05-06 11:19:50,28,Car,50.84,50,violations\violation_28_20260506_111950_058.jpg
2026-05-06 11:19:51,8,Car,60.52,50,violations\violation_8_20260506_111951_454.jpg
2026-05-06 11:19:51,34,Car,50.19,50,violations\violation_34_20260506_111951_868.jpg
2026-05-06 11:19:52,3,Car,51.03,50,violations\violation_3_20260506_111952_829.jpg
2026-05-06 11:19:55,77,Car,52.11,50,violations\violation_77_20260506_111955_068.jpg
2026-05-06 11:19:55,105,Car,100.80,50,violations\violation_105_20260506_111955_866.jpg
2026-05-06 11:19:58,117,Car,50.18,50,violations\violation_117_20260506_111958_060.jpg
2026-05-06 11:20:00,142,Car,117.19,50,violations\violation_142_20260506_112000_037.jpg
2026-05-06 11:20:03,155,Car,66.67,50,violations\violation_155_20260506_112003_239.jpg
2026-05-06 11:20:03,150,Car,59.14,50,violations\violation_150_20260506_112003_248.jpg
2026-05-06 11:20:12,180,Car,50.52,50,violations\violation_180_20260506_112012_226.jpg
2026-05-06 11:20:15,211,Truck,59.08,50,violations\violation_211_20260506_112015_416.jpg
2026-05-06 11:20:15,212,Car,68.42,50,violations\violation_212_20260506_112015_905.jpg
2026-05-06 11:20:18,220,Car,54.74,50,violations\violation_220_20260506_112018_621.jpg
2026-05-06 11:20:19,231,Car,56.32,50,violations\violation_231_20260506_112019_082.jpg
2026-05-06 11:20:19,227,Car,51.75,50,violations\violation_227_20260506_112019_956.jpg
2026-05-06 11:20:23,243,Car,53.62,50,violations\violation_243_20260506_112023_238.jpg
2026-05-06 11:20:25,310,Car,50.92,50,violations\violation_310_20260506_112025_232.jpg
2026-05-06 11:20:28,343,Car,50.57,50,violations\violation_343_20260506_112028_293.jpg
2026-05-06 11:20:29,269,Car,53.87,50,violations\violation_269_20260506_112029_105.jpg
2026-05-06 11:20:29,354,Car,50.44,50,violations\violation_354_20260506_112029_263.jpg
2026-05-06 11:20:31,372,Car,58.99,50,violations\violation_372_20260506_112031_483.jpg
2026-05-06 11:20:33,334,Car,50.04,50,violations\violation_334_20260506_112033_666.jpg
2026-05-06 11:20:33,299,Car,57.48,50,violations\violation_299_20260506_112033_820.jpg
2026-05-06 11:20:33,387,Car,51.87,50,violations\violation_387_20260506_112033_961.jpg
2026-05-06 11:20:35,452,Car,52.37,50,violations\violation_452_20260506_112035_843.jpg
2026-05-06 11:20:35,434,Car,51.12,50,violations\violation_434_20260506_112035_996.jpg
2026-05-06 11:20:36,443,Car,56.03,50,violations\violation_443_20260506_112036_344.jpg
2026-05-06 11:20:39,479,Car,50.56,50,violations\violation_479_20260506_112039_100.jpg
2026-05-06 11:22:59,105,Car,64.98,60,violations\violation_105_20260506_112259_316.jpg
2026-05-06 11:23:13,372,Car,61.09,60,violations\violation_372_20260506_112313_623.jpg
2026-05-06 11:23:21,354,Car,60.66,60,violations\violation_354_20260506_112321_479.jpg
2026-05-06 11:27:05,105,Car,64.98,60,violations\violation_105_20260506_112705_282.jpg
2026-05-06 11:27:19,372,Car,61.09,60,violations\violation_372_20260506_112719_614.jpg
2026-05-06 11:27:27,354,Car,60.66,60,violations\violation_354_20260506_112727_994.jpg
2026-05-06 11:30:33,105,Car,64.98,60,violations\violation_105_20260506_113033_077.jpg
2026-05-06 11:30:47,372,Car,61.09,60,violations\violation_372_20260506_113047_269.jpg
2026-05-06 11:35:34,105,Car,64.98,60,violations\violation_105_20260506_113534_029.jpg
2026-05-06 13:09:46,105,Car,64.98,60,violations\violation_105_20260506_130946_139.jpg
2026-05-06 13:10:08,372,Car,61.09,60,violations\violation_372_20260506_131008_786.jpg
2026-05-06 13:10:18,354,Car,60.66,60,violations\violation_354_20260506_131018_233.jpg
2026-05-06 13:58:24,17,Car,94.91,60,violations\violation_17_20260506_135824_920.jpg
2026-05-06 13:58:35,82,Car,106.47,60,violations\violation_82_20260506_135835_888.jpg
2026-05-06 14:01:15,17,Car,60.27,60,violations\violation_17_20260506_140115_259.jpg
2026-05-06 14:01:24,82,Car,64.25,60,violations\violation_82_20260506_140124_777.jpg
2026-05-06 14:03:16,105,Car,64.98,60,violations\violation_105_20260506_140316_407.jpg
2026-05-06 15:24:36,105,Car,64.98,60,violations\violation_105_20260506_152436_113.jpg
2026-05-06 15:24:53,372,Car,61.09,60,violations\violation_372_20260506_152453_543.jpg
2026-05-06 15:25:03,354,Car,60.66,60,violations\violation_354_20260506_152503_597.jpg
2026-05-06 16:22:34,105,Car,64.98,60,violations\violation_105_20260506_162234_236.jpg
2026-05-06 16:22:51,372,Car,61.09,60,violations\violation_372_20260506_162251_571.jpg
